,CVE_DOC,CVE_ART,MARGEN_TOTAL_CALCULADO
0,F37034,TUE00244,381.68
1,F37036,TUA00028,936.87
2,F37041,TP0007,2617.56
3,F37042,TP0001,101.04
4,F37043,BP00242,141.41
5,F37043,BP00243,375.32
6,F37044,RP00165,8676.24
7,F37046,TP0001,166.62
8,F37048,TUE00207,1097.11
9,F37049,TUE00207,1097.11
10,F37050,TUE00207,1097.11
11,F37051,TUE00207,1028.68
12,F37052,TUE00207,1028.68
13,F37053,BO00051,1399.03
14,F37054,BC00023,1353.2
15,F37058,PT00070,84.17
16,F37059,TP0011,1294.56
17,F37060,PJ31C1F1AA00,-50.69
18,F37061,WRE-2133,3713.02
19,F37061,WRE-2774,5218.69
20,F37061,WRE-4885,1406.76
21,F37067,MR01934,2372.32
22,F37068,PT00080,459.17
23,F37068,PT00081,565.6
24,F37069,RP00150,2999.28
25,F37071,TUA00009,2298.34
26,F37073,TP0011,1805.0
27,F37073,TP0012,1985.17
28,F37077,PT00044,3032.15
29,F37078,BOBINA001,29816.42
30,F37083,TUE00247,3364.8
31,F37086,BOBINA001,29816.42
32,F37087,TUE00320,422.63
33,F37092,PJ31A1F1A400,815.55
34,F37092,PK31A1F1A400,1376.36
35,F37095,RP00172,376.34
36,F37095,RP00173,440.22
37,F37097,BN00232,655.95
38,F37098,CBS00045,7789.83
39,F37100,MR01934,776.8
40,F37102,TUE00321,33632.58
41,F37103,TF71E1120A00,4657.47
42,F37105,BO00052,4231.66
43,F37107,TUA00404,6643.69
44,F37110,TEE00025,1000.59
45,F37114,TUS00049,662.71
46,F37117,TUE00322,1206.75
47,F37117,TUE00323,731.93
48,F37117,TUS00020,1346.56
49,F37120,TUE00328,1954.74
50,F37125,TUS00003,2228.53
51,F37126,BB1 1/2X1/2-300W,165.0
52,F37128,TP0008,288.64
53,F37129,TUE00324,1186.05
54,F37129,TUE00325,1319.87
55,F37130,TUE00326,944.45
56,F37130,TUE00327,950.45
57,F37134,RB00010,2241.2
58,F37138,P7J6C1D1A030,333.68
59,F37141,CS12E2040A00,977.82
60,F37142,CS12E2040A00,977.82
61,F37143,BC00024,2567.58
62,F37143,BC00025,2220.95
63,F37143,BP00241,3403.09
64,F37143,TP00016,674.8
65,F37147,TUA00258,15238.78
66,F37150,BN00236,687.21
67,F37150,BN00237,3517.68
68,F37152,TUA00364,7394.17
69,F37153,BP00245,941.24
70,F37156,BP00244,-36.71
71,F37161,PK31B1I1A000,3103.83
72,F37167,BP00051,312.07
73,F37167,TUA00400,522.18
74,F37169,ECQ-00972,35994.05
75,F37171,TU5/16X230MM,2398.82
76,F37174,TUE00146,10773.27
77,F37175,BO00054,6537.02
78,F37175,BO00055,6672.21
79,F37178,70001693,2412.27
80,F37180,TP0004,1948.71
81,F37184,BE00010,1820.59
82,F37184,BL00011,2844.11
83,F37184,BL00052,5199.3
84,F37185,TUS00086,480.75
85,F37187,TEA00058,4026.44
86,F37187,TEA00059,4759.85
87,F37191,TEE00026,1587.53
88,F37192,TP0003,1574.98
89,F37193,TP0001,59.04
90,F37198,TUA00410,1400.75
91,F37202,CS14B1010A00,446.2
92,F37204,TUA00350,1223.06
93,F37214,TP0001,68.8
94,F37215,PK18J1F1A400,385.78
95,F37217,RP00176,1957.43
96,F37219,TUS00064,3086.92
97,F37221,TUA00078,3196.22
98,F37222,CS38E1017A00,855.16
99,F37223,TP0003,53.75
100,F37223,TP0025,99.11
101,F37226,PT00082,2822.4
102,F37230,54020219,2846.25
103,F37231,93980461,1539.64
104,F37233,PJ14F10B0600,537.73
105,F37235,TUE00057,1082.33
106,F37236,TUE00331,1897.88
107,F37237,BT00005,2462.2
108,F37238,RC00024,430.69
109,F37239,TUE00332,1718.56
110,F37240,TUA00124,924.61
111,F37240,TUE00063,7757.81
112,F37240,TUE00129,3263.0
113,F37241,TUE00008,1711.39
114,F37242,TUA00401,968.06
115,F37243,CAS00066,2199.14
116,F37249,BB00077,944.47
117,F37250,TUS00052,184.12
118,F37255,TU5/16X230MM,773.77
119,F37257,TJ00087,1180.01
120,F37257,TJ00088,696.84
121,F37259,BB1 1/2X1/2-300W,165.0
122,F37260,CBS00002,3399.32
123,F37261,TUS00052,184.12
124,F37262,TUA00407,696.74
125,F37269,TP0005,807.87
126,F37270,65014-38,1706.11
127,F37275,CS12G1040A00,475.22
128,F37276,MA00001,779.23
129,F37277,TUA00412,3365.46
130,F37277,TUA00414,2566.97
131,F37278,CS12J1075A00,2233.04
132,F37279,TUE00329,994.22
133,F37279,TUE00330,990.64
134,F37282,TUA00143,10859.02
135,F37285,BB2X2ST,242.0
136,F37289,TUA00405,2270.16
137,F37289,TUA00406,1437.95
138,F37299,CBS00001,15286.91
139,F37300,BN00112,1531.22
140,F37300,RPISTOLA01,6232.18
141,F37301,TUA00408,4033.13
142,F37302,P231B1AF0500,4564.05
143,F37303,TUE00334,3469.25
144,F37311,TUA00400,1708.21
145,F37318,TUA00415,10324.2
146,F37319,TEA00004,388.64
147,F37320,TUA00082,7319.64
148,F37321,TUE00098,3193.27
149,F37326,RC00026,1455.46
150,F37331,ECQ-01444,6786.45
151,F37333,TUS00002,1684.84
152,F37336,TP0016,1182.21
153,F37336,TP0026,488.51
154,F37339,CBS00099,7127.32
155,F37341,TK00062,2409.66
156,F37342,TP0005,220.4
157,F37349,CBS00100,1497.03
158,F37350,PK31B1G10000,565.11
159,F37355,BN00055,5424.76
160,F37357,CS38M1050A01,2611.96
161,F37357,CS38N1050A01,2550.28
162,F37358,BL00053,766.16
163,F37358,BN00232,645.38
164,F37358,BP00246,939.84
165,F37358,BP00247,1678.51
166,F37358,BP00248,1186.38
167,F37359,BN00115,1301.44
168,F37361,TUS00052,1080.66
169,F37362,TP0010,230.38
170,F37363,CM12G2075A00,2870.43
171,F37363,RP00177,2116.32
172,F37367,TUS00111,809.13
173,F37370,TUE00148,1837.41
174,F37372,TU5/16X230MM,692.77
175,F37375,TP0002,187.29
176,F37376,PT00057,2210.9
177,F37378,PT00082,2822.4
178,F37381,TU5/16X203V,2152.37
179,F37386,TUE00081,3693.24
180,F37389,TP0011,284.87
181,F37394,TUA00280,961.35
182,F37395,RP00178,849.67
183,F37401,BO00053,2229.0
184,F37403,P7J6C1D1A030,602.34
185,F37409,TEA00092,9092.12
186,F37409,TEA00093,6954.33
187,F37414,PK14C1D1G300,1759.83
188,F37415,TT00007,1246.6
189,F37415,TT00008,1402.51
190,F37417,TU5/16X203V240W,824.79
191,F37418,TEA00023,8157.26
192,F37422,TP0001,161.74
193,F37425,TU5/16X870J127V,585.82
194,F37426,TEA00096,1294.59
195,F37429,TUA00025,7282.48
196,F37430,TP0015,2120.3
197,F37433,RP00175,653.35
198,F37434,TP0016,591.1
199,F37435,TUS00112,11485.18
200,F37436,TUA00403,2282.61
201,F37437,BB1 1/2X1/2-300W,165.0
202,F37442,BB1 1/2X1/2-300W,182.0
203,F37442,TP0025,108.27
204,F37443,TUE00146,43043.83
205,F37444,BE00011,1485.18
206,F37444,BE00012,1509.16
207,F37444,BE00013,1547.6
208,F37444,BE00015,1576.68
209,F37444,BN00243,1519.26
210,F37444,BN00244,1581.59
211,F37444,BN00245,1840.74
212,F37444,BN00246,1629.6
213,F37444,BP00249,4864.51
214,F37445,PJ140FD1A000,665.26
215,F37447,TUE00179,2973.38
216,F37449,RC00025,1187.16
217,F37450,CS58H1060A00,1154.25
218,F37451,CS58H1060A00,1154.25
219,F37455,TU5/16X870J127V,585.82
220,F37458,CBS00101,8318.65
221,F37464,TUA00427,16415.61
222,F37465,TEA00006,2530.08
223,F37467,TEE00017,2027.11
224,F37468,CS12J2025A00,576.24
225,F37469,TUE00207,435.78
226,F37470,TUE00207,435.78
227,F37471,TUE00207,435.78
228,F37472,TUE00207,435.78
229,F37473,TUE00207,435.78
230,F37474,TUE00332,519.44
231,F37475,TP0009,569.73
232,F37475,TP0010,393.8
233,F37475,TP0040,463.54
234,F37480,TEA00006,1179.76
235,F37481,CBS00056,2226.53
236,F37482,70001694,2793.81
237,F37483,70001698,2941.71
238,F37484,70001692,3005.15
239,F37485,70001690,2783.22
240,F37486,70001684,3699.86
241,F37487,P214F1AB0600,2220.81
242,F37490,CS12F1040A00,1893.48
243,F37491,TUE00339,-6217.41
244,F37492,BP00206,2088.59
245,F37493,ECQ-00972,34076.16
246,F37495,TUE00075,2383.65
247,F37498,CS12G1040A00,949.97
248,F37499,TUS00113,858.43
249,F37500,TUE00176,2038.61
250,F37502,PJ14F1L1A800,1309.32
251,F37509,TUE00132,705.22
252,F37509,TUS00005,1861.84
253,F37513,TUE00338,1016.81
